id,source_id,set_id,updated_at
onepiece:optcg:EB01-003:ja,EB01-003,P,2026-06-15 17:33:59.660514+00
onepiece:optcg:EB01-006:ja,EB01-006,P,2026-06-15 17:33:59.660514+00
onepiece:optcg:EB01-012:ja,EB01-012,P,2026-06-15 17:33:59.660514+00
onepiece:optcg:EB01-014:ja,EB01-014,P,2026-06-15 17:33:59.660514+00
onepiece:optcg:EB01-015:ja,EB01-015,P,2026-06-15 17:15:49.502597+00
onepiece:optcg:EB01-043:ja,EB01-043,P,2026-06-15 17:33:59.660514+00
onepiece:optcg:EB01-048:ja,EB01-048,P,2026-06-15 17:33:59.660514+00
onepiece:optcg:EB02-006:ja,EB02-006,P,2026-06-15 17:34:00.109793+00
onepiece:optcg:EB02-010:ja,EB02-010,P,2026-06-15 17:34:00.109793+00
onepiece:optcg:EB02-019:ja,EB02-019,P,2026-06-15 17:34:00.109793+00
onepiece:optcg:EB02-026:ja,EB02-026,P,2026-06-15 17:34:00.109793+00
onepiece:optcg:EB02-055:ja,EB02-055,P,2026-06-15 17:34:00.109793+00
onepiece:optcg:OP01-015:ja,OP01-015,P,2026-06-14 11:16:53.153593+00
onepiece:optcg:OP01-021:ja,OP01-021,P,2026-06-14 11:16:53.153593+00
onepiece:optcg:OP01-033:ja,OP01-033,P,2026-06-14 11:16:53.153593+00
onepiece:optcg:OP01-035:ja,OP01-035,P,2026-06-14 11:16:53.153593+00
onepiece:optcg:OP01-041:ja,OP01-041,P,2026-06-14 11:16:53.153593+00
onepiece:optcg:OP01-052:ja,OP01-052,P,2026-06-14 11:16:53.153593+00
onepiece:optcg:OP01-070:ja,OP01-070,P,2026-06-14 11:16:53.153593+00
onepiece:optcg:OP01-101:ja,OP01-101,P,2026-06-14 11:16:53.367002+00
onepiece:optcg:OP02-022:ja,OP02-022,P,2026-06-14 11:16:54.350259+00
onepiece:optcg:OP02-034:ja,OP02-034,P,2026-06-14 11:16:54.350259+00
onepiece:optcg:OP02-035:ja,OP02-035,P,2026-06-14 11:16:54.350259+00
onepiece:optcg:OP02-063:ja,OP02-063,P,2026-06-14 11:16:54.350259+00
onepiece:optcg:OP02-098:ja,OP02-098,P,2026-06-14 11:16:54.350259+00
onepiece:optcg:OP02-106:ja,OP02-106,P,2026-06-14 11:16:54.499288+00
onepiece:optcg:OP03-033:ja,OP03-033,P,2026-06-14 11:16:55.485259+00
onepiece:optcg:OP03-044:ja,OP03-044,P,2026-06-14 11:16:55.485259+00
onepiece:optcg:OP03-088:ja,OP03-088,P,2026-06-14 11:16:55.485259+00
onepiece:optcg:OP03-089:ja,OP03-089,P,2026-06-14 11:16:55.485259+00
onepiece:optcg:OP03-102:ja,OP03-102,P,2026-06-14 11:16:55.635454+00
onepiece:optcg:OP03-112:ja,OP03-112,P,2026-06-14 11:16:55.635454+00
onepiece:optcg:OP03-114:ja,OP03-114,P,2026-06-14 11:16:55.635454+00
onepiece:optcg:OP03-116:ja,OP03-116,P,2026-06-14 11:16:55.635454+00
onepiece:optcg:OP03-123:ja,OP03-123,P,2026-06-14 11:16:55.635454+00
onepiece:optcg:OP04-010:ja,OP04-010,P,2026-06-14 11:16:56.517584+00
onepiece:optcg:OP04-083:ja,OP04-083,P,2026-06-14 11:16:56.517584+00
onepiece:optcg:OP04-092:ja,OP04-092,P,2026-06-14 11:16:56.517584+00
