id,source_id,set_id,card_number,lang,tcg,source,updated_at
pokemon:tcgdex:P-A-001:de,P-A-001,P,001,de,pokemon,tcgdex,2026-08-09 04:00:49.041+00
pokemon:tcgdex:P-A-001:es,P-A-001,P,001,es,pokemon,tcgdex,2026-08-09 04:01:08.686+00
pokemon:tcgdex:P-A-001:fr,P-A-001,P,001,fr,pokemon,tcgdex,2026-08-09 04:00:38.354+00
pokemon:tcgdex:P-A-001:it,P-A-001,P,001,it,pokemon,tcgdex,2026-08-09 04:01:02.107+00
pokemon:tcgdex:P-A-002:de,P-A-002,P,002,de,pokemon,tcgdex,2026-08-09 04:00:49.041+00
pokemon:tcgdex:P-A-002:es,P-A-002,P,002,es,pokemon,tcgdex,2026-08-09 04:01:08.687+00
pokemon:tcgdex:P-A-002:fr,P-A-002,P,002,fr,pokemon,tcgdex,2026-08-09 04:00:38.354+00
pokemon:tcgdex:P-A-002:it,P-A-002,P,002,it,pokemon,tcgdex,2026-08-09 04:01:02.107+00
pokemon:tcgdex:P-A-003:de,P-A-003,P,003,de,pokemon,tcgdex,2026-08-09 04:00:49.041+00
pokemon:tcgdex:P-A-003:es,P-A-003,P,003,es,pokemon,tcgdex,2026-08-09 04:01:08.687+00
pokemon:tcgdex:P-A-003:fr,P-A-003,P,003,fr,pokemon,tcgdex,2026-08-09 04:00:38.354+00
pokemon:tcgdex:P-A-003:it,P-A-003,P,003,it,pokemon,tcgdex,2026-08-09 04:01:02.107+00
pokemon:tcgdex:P-A-004:de,P-A-004,P,004,de,pokemon,tcgdex,2026-08-09 04:00:49.042+00
pokemon:tcgdex:P-A-004:es,P-A-004,P,004,es,pokemon,tcgdex,2026-08-09 04:01:08.687+00
pokemon:tcgdex:P-A-004:fr,P-A-004,P,004,fr,pokemon,tcgdex,2026-08-09 04:00:39.161+00
pokemon:tcgdex:P-A-004:it,P-A-004,P,004,it,pokemon,tcgdex,2026-08-09 04:01:02.108+00
pokemon:tcgdex:P-A-005:de,P-A-005,P,005,de,pokemon,tcgdex,2026-08-09 04:00:49.492+00
pokemon:tcgdex:P-A-005:es,P-A-005,P,005,es,pokemon,tcgdex,2026-08-09 04:01:08.687+00
pokemon:tcgdex:P-A-005:fr,P-A-005,P,005,fr,pokemon,tcgdex,2026-08-09 04:00:39.161+00
pokemon:tcgdex:P-A-005:it,P-A-005,P,005,it,pokemon,tcgdex,2026-08-09 04:01:02.108+00
pokemon:tcgdex:P-A-006:de,P-A-006,P,006,de,pokemon,tcgdex,2026-08-09 04:00:49.492+00
pokemon:tcgdex:P-A-006:es,P-A-006,P,006,es,pokemon,tcgdex,2026-08-09 04:01:08.913+00
pokemon:tcgdex:P-A-006:fr,P-A-006,P,006,fr,pokemon,tcgdex,2026-08-09 04:00:39.161+00
pokemon:tcgdex:P-A-006:it,P-A-006,P,006,it,pokemon,tcgdex,2026-08-09 04:01:02.409+00
pokemon:tcgdex:P-A-007:de,P-A-007,P,007,de,pokemon,tcgdex,2026-08-09 04:00:49.493+00
pokemon:tcgdex:P-A-007:es,P-A-007,P,007,es,pokemon,tcgdex,2026-08-09 04:01:08.913+00
pokemon:tcgdex:P-A-007:fr,P-A-007,P,007,fr,pokemon,tcgdex,2026-08-09 04:00:39.792+00
pokemon:tcgdex:P-A-007:it,P-A-007,P,007,it,pokemon,tcgdex,2026-08-09 04:01:02.409+00
pokemon:tcgdex:P-A-008:de,P-A-008,P,008,de,pokemon,tcgdex,2026-08-09 04:00:49.76+00
pokemon:tcgdex:P-A-008:es,P-A-008,P,008,es,pokemon,tcgdex,2026-08-09 04:01:08.914+00
pokemon:tcgdex:P-A-008:fr,P-A-008,P,008,fr,pokemon,tcgdex,2026-08-09 04:00:39.792+00
pokemon:tcgdex:P-A-008:it,P-A-008,P,008,it,pokemon,tcgdex,2026-08-09 04:01:02.409+00
pokemon:tcgdex:P-A-009:de,P-A-009,P,009,de,pokemon,tcgdex,2026-08-09 04:00:49.76+00
pokemon:tcgdex:P-A-009:es,P-A-009,P,009,es,pokemon,tcgdex,2026-08-09 04:01:08.914+00
pokemon:tcgdex:P-A-009:fr,P-A-009,P,009,fr,pokemon,tcgdex,2026-08-09 04:00:40.245+00
pokemon:tcgdex:P-A-009:it,P-A-009,P,009,it,pokemon,tcgdex,2026-08-09 04:01:02.409+00
pokemon:tcgdex:P-A-010:de,P-A-010,P,010,de,pokemon,tcgdex,2026-08-09 04:00:49.761+00
pokemon:tcgdex:P-A-010:es,P-A-010,P,010,es,pokemon,tcgdex,2026-08-09 04:01:08.914+00
pokemon:tcgdex:P-A-010:fr,P-A-010,P,010,fr,pokemon,tcgdex,2026-08-09 04:00:40.246+00
pokemon:tcgdex:P-A-010:it,P-A-010,P,010,it,pokemon,tcgdex,2026-08-09 04:01:02.409+00
pokemon:tcgdex:P-A-011:de,P-A-011,P,011,de,pokemon,tcgdex,2026-08-09 04:00:49.761+00
pokemon:tcgdex:P-A-011:es,P-A-011,P,011,es,pokemon,tcgdex,2026-08-09 04:01:09.097+00
pokemon:tcgdex:P-A-011:fr,P-A-011,P,011,fr,pokemon,tcgdex,2026-08-09 04:00:40.246+00
pokemon:tcgdex:P-A-011:it,P-A-011,P,011,it,pokemon,tcgdex,2026-08-09 04:01:02.613+00
pokemon:tcgdex:P-A-012:de,P-A-012,P,012,de,pokemon,tcgdex,2026-08-09 04:00:50.054+00
pokemon:tcgdex:P-A-012:es,P-A-012,P,012,es,pokemon,tcgdex,2026-08-09 04:01:09.097+00
pokemon:tcgdex:P-A-012:fr,P-A-012,P,012,fr,pokemon,tcgdex,2026-08-09 04:00:40.612+00
pokemon:tcgdex:P-A-012:it,P-A-012,P,012,it,pokemon,tcgdex,2026-08-09 04:01:02.613+00
pokemon:tcgdex:P-A-013:de,P-A-013,P,013,de,pokemon,tcgdex,2026-08-09 04:00:50.054+00
pokemon:tcgdex:P-A-013:es,P-A-013,P,013,es,pokemon,tcgdex,2026-08-09 04:01:09.097+00
pokemon:tcgdex:P-A-013:fr,P-A-013,P,013,fr,pokemon,tcgdex,2026-08-09 04:00:40.612+00
pokemon:tcgdex:P-A-013:it,P-A-013,P,013,it,pokemon,tcgdex,2026-08-09 04:01:02.613+00
pokemon:tcgdex:P-A-014:de,P-A-014,P,014,de,pokemon,tcgdex,2026-08-09 04:00:50.054+00
pokemon:tcgdex:P-A-014:es,P-A-014,P,014,es,pokemon,tcgdex,2026-08-09 04:01:09.097+00
pokemon:tcgdex:P-A-014:fr,P-A-014,P,014,fr,pokemon,tcgdex,2026-08-09 04:00:40.612+00
pokemon:tcgdex:P-A-014:it,P-A-014,P,014,it,pokemon,tcgdex,2026-08-09 04:01:02.614+00
pokemon:tcgdex:P-A-015:de,P-A-015,P,015,de,pokemon,tcgdex,2026-08-09 04:00:50.054+00
pokemon:tcgdex:P-A-015:es,P-A-015,P,015,es,pokemon,tcgdex,2026-08-09 04:01:09.097+00
pokemon:tcgdex:P-A-015:fr,P-A-015,P,015,fr,pokemon,tcgdex,2026-08-09 04:00:40.942+00
pokemon:tcgdex:P-A-015:it,P-A-015,P,015,it,pokemon,tcgdex,2026-08-09 04:01:02.614+00
pokemon:tcgdex:P-A-016:de,P-A-016,P,016,de,pokemon,tcgdex,2026-08-09 04:00:50.317+00
pokemon:tcgdex:P-A-016:es,P-A-016,P,016,es,pokemon,tcgdex,2026-08-09 04:01:09.3+00
pokemon:tcgdex:P-A-016:fr,P-A-016,P,016,fr,pokemon,tcgdex,2026-08-09 04:00:40.942+00
pokemon:tcgdex:P-A-016:it,P-A-016,P,016,it,pokemon,tcgdex,2026-08-09 04:01:02.811+00
pokemon:tcgdex:P-A-017:de,P-A-017,P,017,de,pokemon,tcgdex,2026-08-09 04:00:50.317+00
pokemon:tcgdex:P-A-017:es,P-A-017,P,017,es,pokemon,tcgdex,2026-08-09 04:01:09.3+00
pokemon:tcgdex:P-A-017:fr,P-A-017,P,017,fr,pokemon,tcgdex,2026-08-09 04:00:40.942+00
pokemon:tcgdex:P-A-017:it,P-A-017,P,017,it,pokemon,tcgdex,2026-08-09 04:01:02.811+00
pokemon:tcgdex:P-A-018:de,P-A-018,P,018,de,pokemon,tcgdex,2026-08-09 04:00:50.318+00
pokemon:tcgdex:P-A-018:es,P-A-018,P,018,es,pokemon,tcgdex,2026-08-09 04:01:09.3+00
pokemon:tcgdex:P-A-018:fr,P-A-018,P,018,fr,pokemon,tcgdex,2026-08-09 04:00:40.942+00
pokemon:tcgdex:P-A-018:it,P-A-018,P,018,it,pokemon,tcgdex,2026-08-09 04:01:02.811+00
pokemon:tcgdex:P-A-019:de,P-A-019,P,019,de,pokemon,tcgdex,2026-08-09 04:00:50.318+00
pokemon:tcgdex:P-A-019:es,P-A-019,P,019,es,pokemon,tcgdex,2026-08-09 04:01:09.3+00
pokemon:tcgdex:P-A-019:fr,P-A-019,P,019,fr,pokemon,tcgdex,2026-08-09 04:00:41.223+00
pokemon:tcgdex:P-A-019:it,P-A-019,P,019,it,pokemon,tcgdex,2026-08-09 04:01:02.811+00
pokemon:tcgdex:P-A-020:de,P-A-020,P,020,de,pokemon,tcgdex,2026-08-09 04:00:50.567+00
pokemon:tcgdex:P-A-020:es,P-A-020,P,020,es,pokemon,tcgdex,2026-08-09 04:01:09.301+00
pokemon:tcgdex:P-A-020:fr,P-A-020,P,020,fr,pokemon,tcgdex,2026-08-09 04:00:41.223+00
pokemon:tcgdex:P-A-020:it,P-A-020,P,020,it,pokemon,tcgdex,2026-08-09 04:01:02.812+00
pokemon:tcgdex:P-A-021:de,P-A-021,P,021,de,pokemon,tcgdex,2026-08-09 04:00:50.567+00
pokemon:tcgdex:P-A-021:es,P-A-021,P,021,es,pokemon,tcgdex,2026-08-09 04:01:09.524+00
pokemon:tcgdex:P-A-021:fr,P-A-021,P,021,fr,pokemon,tcgdex,2026-08-09 04:00:41.223+00
pokemon:tcgdex:P-A-021:it,P-A-021,P,021,it,pokemon,tcgdex,2026-08-09 04:01:03.037+00
pokemon:tcgdex:P-A-022:de,P-A-022,P,022,de,pokemon,tcgdex,2026-08-09 04:00:50.567+00
pokemon:tcgdex:P-A-022:es,P-A-022,P,022,es,pokemon,tcgdex,2026-08-09 04:01:09.524+00
pokemon:tcgdex:P-A-022:fr,P-A-022,P,022,fr,pokemon,tcgdex,2026-08-09 04:00:41.483+00
pokemon:tcgdex:P-A-022:it,P-A-022,P,022,it,pokemon,tcgdex,2026-08-09 04:01:03.037+00
pokemon:tcgdex:P-A-023:de,P-A-023,P,023,de,pokemon,tcgdex,2026-08-09 04:00:50.568+00
pokemon:tcgdex:P-A-023:es,P-A-023,P,023,es,pokemon,tcgdex,2026-08-09 04:01:09.525+00
pokemon:tcgdex:P-A-023:fr,P-A-023,P,023,fr,pokemon,tcgdex,2026-08-09 04:00:41.483+00
pokemon:tcgdex:P-A-023:it,P-A-023,P,023,it,pokemon,tcgdex,2026-08-09 04:01:03.037+00
pokemon:tcgdex:P-A-024:de,P-A-024,P,024,de,pokemon,tcgdex,2026-08-09 04:00:53.034+00
pokemon:tcgdex:P-A-024:es,P-A-024,P,024,es,pokemon,tcgdex,2026-08-09 04:01:09.525+00
pokemon:tcgdex:P-A-024:fr,P-A-024,P,024,fr,pokemon,tcgdex,2026-08-09 04:00:41.483+00
pokemon:tcgdex:P-A-024:it,P-A-024,P,024,it,pokemon,tcgdex,2026-08-09 04:01:03.037+00
pokemon:tcgdex:P-A-025:de,P-A-025,P,025,de,pokemon,tcgdex,2026-08-09 04:00:53.035+00
pokemon:tcgdex:P-A-025:es,P-A-025,P,025,es,pokemon,tcgdex,2026-08-09 04:01:09.525+00
pokemon:tcgdex:P-A-025:fr,P-A-025,P,025,fr,pokemon,tcgdex,2026-08-09 04:00:41.732+00
pokemon:tcgdex:P-A-025:it,P-A-025,P,025,it,pokemon,tcgdex,2026-08-09 04:01:03.037+00
pokemon:tcgdex:P-A-026:de,P-A-026,P,026,de,pokemon,tcgdex,2026-08-09 04:00:53.035+00
pokemon:tcgdex:P-A-026:es,P-A-026,P,026,es,pokemon,tcgdex,2026-08-09 04:01:09.685+00
pokemon:tcgdex:P-A-026:fr,P-A-026,P,026,fr,pokemon,tcgdex,2026-08-09 04:00:41.733+00
pokemon:tcgdex:P-A-026:it,P-A-026,P,026,it,pokemon,tcgdex,2026-08-09 04:01:03.21+00
pokemon:tcgdex:P-A-027:de,P-A-027,P,027,de,pokemon,tcgdex,2026-08-09 04:00:53.035+00
pokemon:tcgdex:P-A-027:es,P-A-027,P,027,es,pokemon,tcgdex,2026-08-09 04:01:09.685+00
pokemon:tcgdex:P-A-027:fr,P-A-027,P,027,fr,pokemon,tcgdex,2026-08-09 04:00:41.733+00
pokemon:tcgdex:P-A-027:it,P-A-027,P,027,it,pokemon,tcgdex,2026-08-09 04:01:03.21+00
pokemon:tcgdex:P-A-028:de,P-A-028,P,028,de,pokemon,tcgdex,2026-08-09 04:00:53.279+00
pokemon:tcgdex:P-A-028:es,P-A-028,P,028,es,pokemon,tcgdex,2026-08-09 04:01:09.685+00
pokemon:tcgdex:P-A-028:fr,P-A-028,P,028,fr,pokemon,tcgdex,2026-08-09 04:00:41.733+00
pokemon:tcgdex:P-A-028:it,P-A-028,P,028,it,pokemon,tcgdex,2026-08-09 04:01:03.21+00
pokemon:tcgdex:P-A-029:de,P-A-029,P,029,de,pokemon,tcgdex,2026-08-09 04:00:53.279+00
pokemon:tcgdex:P-A-029:es,P-A-029,P,029,es,pokemon,tcgdex,2026-08-09 04:01:09.686+00
pokemon:tcgdex:P-A-029:fr,P-A-029,P,029,fr,pokemon,tcgdex,2026-08-09 04:00:41.966+00
pokemon:tcgdex:P-A-029:it,P-A-029,P,029,it,pokemon,tcgdex,2026-08-09 04:01:03.21+00
pokemon:tcgdex:P-A-030:de,P-A-030,P,030,de,pokemon,tcgdex,2026-08-09 04:00:53.279+00
pokemon:tcgdex:P-A-030:es,P-A-030,P,030,es,pokemon,tcgdex,2026-08-09 04:01:09.686+00
pokemon:tcgdex:P-A-030:fr,P-A-030,P,030,fr,pokemon,tcgdex,2026-08-09 04:00:41.966+00
pokemon:tcgdex:P-A-030:it,P-A-030,P,030,it,pokemon,tcgdex,2026-08-09 04:01:03.21+00
