id,source_id,set_id,card_number,lang,updated_at
pokemon:tcgdex:SV-P-001:th,SV-P-001,SV,001,th,2026-08-09 04:01:24.216+00
pokemon:tcgdex:SV-P-001:zh-tw,SV-P-001,SV,001,zh-tw,2026-08-09 04:01:20.166+00
pokemon:tcgdex:SV-P-002:zh-tw,SV-P-002,SV,002,zh-tw,2026-08-09 04:01:20.166+00
pokemon:tcgdex:SV-P-003:zh-tw,SV-P-003,SV,003,zh-tw,2026-08-09 04:01:20.166+00
pokemon:tcgdex:SV-P-004:zh-tw,SV-P-004,SV,004,zh-tw,2026-08-09 04:01:20.166+00
pokemon:tcgdex:SV-P-005:zh-tw,SV-P-005,SV,005,zh-tw,2026-08-09 04:01:20.166+00
pokemon:tcgdex:SV-P-006:zh-tw,SV-P-006,SV,006,zh-tw,2026-08-09 04:01:20.166+00
pokemon:tcgdex:SV-P-007:zh-tw,SV-P-007,SV,007,zh-tw,2026-08-09 04:01:20.521+00
pokemon:tcgdex:SV-P-008:zh-tw,SV-P-008,SV,008,zh-tw,2026-08-09 04:01:20.521+00
pokemon:tcgdex:SV-P-009:zh-tw,SV-P-009,SV,009,zh-tw,2026-08-09 04:01:20.521+00
pokemon:tcgdex:SV-P-010:zh-tw,SV-P-010,SV,010,zh-tw,2026-08-09 04:01:20.521+00
pokemon:tcgdex:SV-P-011:zh-tw,SV-P-011,SV,011,zh-tw,2026-08-09 04:01:20.521+00
pokemon:tcgdex:SV-P-012:zh-tw,SV-P-012,SV,012,zh-tw,2026-08-09 04:01:20.521+00
pokemon:tcgdex:SV-P-013:zh-tw,SV-P-013,SV,013,zh-tw,2026-08-09 04:01:20.521+00
pokemon:tcgdex:SV-P-014:zh-tw,SV-P-014,SV,014,zh-tw,2026-08-09 04:01:20.716+00
pokemon:tcgdex:SV-P-015:zh-tw,SV-P-015,SV,015,zh-tw,2026-08-09 04:01:20.716+00
pokemon:tcgdex:SV-P-016:zh-tw,SV-P-016,SV,016,zh-tw,2026-08-09 04:01:20.716+00
pokemon:tcgdex:SV-P-017:zh-tw,SV-P-017,SV,017,zh-tw,2026-08-09 04:01:20.716+00
pokemon:tcgdex:SV-P-018:zh-tw,SV-P-018,SV,018,zh-tw,2026-08-09 04:01:20.716+00
pokemon:tcgdex:SV-P-019:zh-tw,SV-P-019,SV,019,zh-tw,2026-08-09 04:01:20.716+00
pokemon:tcgdex:SV-P-020:zh-tw,SV-P-020,SV,020,zh-tw,2026-08-09 04:01:20.944+00
