id,source_id,set_id,card_number,lang,updated_at
pokemon:tcgdex:tk-bw-e-1:es,tk-bw-e-1,tk,1,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-bw-e-1:fr,tk-bw-e-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-bw-e-10:es,tk-bw-e-10,tk,10,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-e-10:fr,tk-bw-e-10,tk,10,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-bw-e-11:es,tk-bw-e-11,tk,11,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-e-11:fr,tk-bw-e-11,tk,11,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-bw-e-12:es,tk-bw-e-12,tk,12,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-e-12:fr,tk-bw-e-12,tk,12,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-bw-e-13:es,tk-bw-e-13,tk,13,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-e-13:fr,tk-bw-e-13,tk,13,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-bw-e-14:es,tk-bw-e-14,tk,14,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-e-14:fr,tk-bw-e-14,tk,14,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-bw-e-15:es,tk-bw-e-15,tk,15,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-e-15:fr,tk-bw-e-15,tk,15,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-bw-e-16:es,tk-bw-e-16,tk,16,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-e-16:fr,tk-bw-e-16,tk,16,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-bw-e-17:es,tk-bw-e-17,tk,17,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-e-17:fr,tk-bw-e-17,tk,17,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-bw-e-18:es,tk-bw-e-18,tk,18,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-e-18:fr,tk-bw-e-18,tk,18,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-bw-e-19:es,tk-bw-e-19,tk,19,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-e-19:fr,tk-bw-e-19,tk,19,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-bw-e-2:es,tk-bw-e-2,tk,2,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-bw-e-2:fr,tk-bw-e-2,tk,2,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-bw-e-20:es,tk-bw-e-20,tk,20,es,2026-08-09 04:01:09.301+00
pokemon:tcgdex:tk-bw-e-20:fr,tk-bw-e-20,tk,20,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-bw-e-21:es,tk-bw-e-21,tk,21,es,2026-08-09 04:01:09.524+00
pokemon:tcgdex:tk-bw-e-21:fr,tk-bw-e-21,tk,21,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-bw-e-22:es,tk-bw-e-22,tk,22,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-bw-e-22:fr,tk-bw-e-22,tk,22,fr,2026-08-09 04:00:41.483+00
pokemon:tcgdex:tk-bw-e-23:es,tk-bw-e-23,tk,23,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-bw-e-23:fr,tk-bw-e-23,tk,23,fr,2026-08-09 04:00:41.483+00
pokemon:tcgdex:tk-bw-e-24:es,tk-bw-e-24,tk,24,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-bw-e-24:fr,tk-bw-e-24,tk,24,fr,2026-08-09 04:00:41.483+00
pokemon:tcgdex:tk-bw-e-25:es,tk-bw-e-25,tk,25,es,2026-08-09 04:01:09.525+00
pokemon:tcgdex:tk-bw-e-25:fr,tk-bw-e-25,tk,25,fr,2026-08-09 04:00:41.732+00
pokemon:tcgdex:tk-bw-e-26:es,tk-bw-e-26,tk,26,es,2026-08-09 04:01:09.685+00
pokemon:tcgdex:tk-bw-e-26:fr,tk-bw-e-26,tk,26,fr,2026-08-09 04:00:41.733+00
pokemon:tcgdex:tk-bw-e-27:es,tk-bw-e-27,tk,27,es,2026-08-09 04:01:09.685+00
pokemon:tcgdex:tk-bw-e-27:fr,tk-bw-e-27,tk,27,fr,2026-08-09 04:00:41.733+00
pokemon:tcgdex:tk-bw-e-28:es,tk-bw-e-28,tk,28,es,2026-08-09 04:01:09.685+00
pokemon:tcgdex:tk-bw-e-28:fr,tk-bw-e-28,tk,28,fr,2026-08-09 04:00:41.966+00
pokemon:tcgdex:tk-bw-e-29:es,tk-bw-e-29,tk,29,es,2026-08-09 04:01:09.686+00
pokemon:tcgdex:tk-bw-e-29:fr,tk-bw-e-29,tk,29,fr,2026-08-09 04:00:41.966+00
pokemon:tcgdex:tk-bw-e-3:es,tk-bw-e-3,tk,3,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-bw-e-3:fr,tk-bw-e-3,tk,3,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-bw-e-30:es,tk-bw-e-30,tk,30,es,2026-08-09 04:01:09.686+00
pokemon:tcgdex:tk-bw-e-30:fr,tk-bw-e-30,tk,30,fr,2026-08-09 04:00:41.966+00
pokemon:tcgdex:tk-bw-e-4:es,tk-bw-e-4,tk,4,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-bw-e-4:fr,tk-bw-e-4,tk,4,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-bw-e-5:es,tk-bw-e-5,tk,5,es,2026-08-09 04:01:08.913+00
pokemon:tcgdex:tk-bw-e-5:fr,tk-bw-e-5,tk,5,fr,2026-08-09 04:00:39.161+00
pokemon:tcgdex:tk-bw-e-6:es,tk-bw-e-6,tk,6,es,2026-08-09 04:01:08.913+00
pokemon:tcgdex:tk-bw-e-6:fr,tk-bw-e-6,tk,6,fr,2026-08-09 04:00:39.791+00
pokemon:tcgdex:tk-bw-e-7:es,tk-bw-e-7,tk,7,es,2026-08-09 04:01:08.914+00
pokemon:tcgdex:tk-bw-e-7:fr,tk-bw-e-7,tk,7,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-bw-e-8:es,tk-bw-e-8,tk,8,es,2026-08-09 04:01:08.914+00
pokemon:tcgdex:tk-bw-e-8:fr,tk-bw-e-8,tk,8,fr,2026-08-09 04:00:39.792+00
pokemon:tcgdex:tk-bw-e-9:es,tk-bw-e-9,tk,9,es,2026-08-09 04:01:08.914+00
pokemon:tcgdex:tk-bw-e-9:fr,tk-bw-e-9,tk,9,fr,2026-08-09 04:00:40.245+00
pokemon:tcgdex:tk-bw-z-1:es,tk-bw-z-1,tk,1,es,2026-08-09 04:01:08.686+00
pokemon:tcgdex:tk-bw-z-1:fr,tk-bw-z-1,tk,1,fr,2026-08-09 04:00:38.354+00
pokemon:tcgdex:tk-bw-z-10:es,tk-bw-z-10,tk,10,es,2026-08-09 04:01:08.914+00
pokemon:tcgdex:tk-bw-z-10:fr,tk-bw-z-10,tk,10,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-bw-z-11:es,tk-bw-z-11,tk,11,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-z-11:fr,tk-bw-z-11,tk,11,fr,2026-08-09 04:00:40.246+00
pokemon:tcgdex:tk-bw-z-12:es,tk-bw-z-12,tk,12,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-z-12:fr,tk-bw-z-12,tk,12,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-bw-z-13:es,tk-bw-z-13,tk,13,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-z-13:fr,tk-bw-z-13,tk,13,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-bw-z-14:es,tk-bw-z-14,tk,14,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-z-14:fr,tk-bw-z-14,tk,14,fr,2026-08-09 04:00:40.612+00
pokemon:tcgdex:tk-bw-z-15:es,tk-bw-z-15,tk,15,es,2026-08-09 04:01:09.097+00
pokemon:tcgdex:tk-bw-z-15:fr,tk-bw-z-15,tk,15,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-bw-z-16:es,tk-bw-z-16,tk,16,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-z-16:fr,tk-bw-z-16,tk,16,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-bw-z-17:es,tk-bw-z-17,tk,17,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-z-17:fr,tk-bw-z-17,tk,17,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-bw-z-18:es,tk-bw-z-18,tk,18,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-z-18:fr,tk-bw-z-18,tk,18,fr,2026-08-09 04:00:40.942+00
pokemon:tcgdex:tk-bw-z-19:es,tk-bw-z-19,tk,19,es,2026-08-09 04:01:09.3+00
pokemon:tcgdex:tk-bw-z-19:fr,tk-bw-z-19,tk,19,fr,2026-08-09 04:00:41.223+00
pokemon:tcgdex:tk-bw-z-2:es,tk-bw-z-2,tk,2,es,2026-08-09 04:01:08.687+00
pokemon:tcgdex:tk-bw-z-2:fr,tk-bw-z-2,tk,2,fr,2026-08-09 04:00:38.354+00
